Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Sicut alius Dies,#ULVB3,375,308.18,1000.00,107.90,#m4tml,32719226,2024-02-22 20:55,2024-02-23 06:02,PLO6(H/L),1.00,659.28
2,LagunaPai,#M3589,234,248.16,1000.00,45.03,,,,,,,
3,WhereMyPhone,#7F7LF,47,101.24,200.00,17.44,,,,,,,
4,Rocky Cole,#SG13Y,355,59.09,150.00,69.24,,,,,,,
5,Daballday,#VUBLQ,203,35.52,1139.00,102.05,,,,,,,
6,Springfield Cabbie,#UBN1Q,116,21.42,125.00,7.01,,,,,,,
7,Dragonkillerz,#XXLYE,92,5.15,500.00,27.50,,,,,,,
8,Wade Williams,#2U1EV,72,0.49,300.00,16.20,,,,,,,
9,Freeze 🥶,#ZS68E,4,-1.50,100.00,0.05,,,,,,,
10,Go-Go,#0C1U2,11,-13.29,160.00,0.98,,,,,,,
11,Bjorn,#ZX8CX,182,-57.42,1000.00,39.39,,,,,,,
12,Zamwhizy,#GDPGD,111,-70.71,100.00,7.06,,,,,,,
13,The Greg Special,#RHK9K,116,-71.50,250.00,11.97,,,,,,,
14,🥛 MILKMAN🥛,#86MMN,17,-100.00,100.00,15.62,,,,,,,
15,FLETCHY,#33DU6,532,-174.11,300.00,65.32,,,,,,,
16,Shantyshark,#QDQH9,93,-300.00,300.00,62.72,,,,,,,
17,Krispy Krunch,#VYHCE,135,-650.00,650.00,63.80,,,,,,,
